n_users,n_trips,events_per_trip,db,query,time_seconds,memory_mb
10000,10000,2,spark_doc,query2,0.3969,283.8
10000,10000,2,spark_graph,pagerank,3.9239,283.65
10000,10000,2,spark_graph,connected_components,0.8311,283.65
10000,10000,5,postgres,load,11.5451,282.79
10000,10000,5,postgres,query1,0.1806,282.79
10000,10000,5,postgres,query2,0.0565,282.79
10000,10000,5,postgres,query3,0.1126,282.79
10000,10000,5,postgres,query4,0.3305,281.8
10000,10000,5,mongodb,load,6.0417,283.16
10000,10000,5,mongodb,query1_lookup,2.6713,283.16
10000,10000,5,mongodb,query2,0.6644,283.16
10000,10000,5,mongodb,query3,0.0179,283.16
10000,10000,5,mongodb,query4,0.0987,283.16
10000,10000,5,neo4j,load,3.2869,283.01
10000,10000,5,neo4j,query1,0.005,283.01
10000,10000,5,neo4j,query2,0.0079,283.01
10000,10000,5,spark_doc,query2,0.3379,282.17
10000,10000,5,spark_graph,pagerank,3.9163,282.02
10000,10000,5,spark_graph,connected_components,0.8514,282.02
10000,10000,10,postgres,load,20.4737,279.57
10000,10000,10,postgres,query1,0.1764,279.59
10000,10000,10,postgres,query2,0.0857,279.6
10000,10000,10,postgres,query3,0.0659,279.6
10000,10000,10,postgres,query4,0.3328,279.69
10000,10000,10,mongodb,load,6.2338,278.5
10000,10000,10,mongodb,query1_lookup,2.8283,278.51
10000,10000,10,mongodb,query2,0.6379,278.53
10000,10000,10,mongodb,query3,0.0159,278.53
10000,10000,10,mongodb,query4,0.0888,278.53
10000,10000,10,neo4j,load,3.2264,278.48
10000,10000,10,neo4j,query1,0.004,278.48
10000,10000,10,neo4j,query2,0.0059,278.48
10000,10000,10,spark_doc,query2,0.3691,279.21
10000,10000,10,spark_graph,pagerank,4.0523,279.12
10000,10000,10,spark_graph,connected_components,0.7789,279.12
10000,50000,0,postgres,load,11.3757,271.88
10000,50000,0,postgres,query1,0.8932,271.96
10000,50000,0,postgres,query2,0.0795,271.97
10000,50000,0,postgres,query3,0.8535,271.97
10000,50000,0,postgres,query4,0.004,271.97
10000,50000,0,mongodb,load,2.5777,270.07
10000,50000,0,mongodb,query1_lookup,13.9531,271.57
10000,50000,0,mongodb,query2,1.4818,271.57
10000,50000,0,mongodb,query3,0.1235,271.57
10000,50000,0,mongodb,query4,0.0519,271.57
10000,50000,0,neo4j,load,14.2643,271.49
10000,50000,0,neo4j,query1,0.3585,271.49
10000,50000,0,neo4j,query2,0.025,271.49
10000,50000,0,spark_doc,query2,0.5721,272.65
10000,50000,0,spark_graph,pagerank,4.0007,272.5
10000,50000,0,spark_graph,connected_components,0.7146,272.5
10000,50000,2,postgres,load,30.0264,279.13
10000,50000,2,postgres,query1,0.9225,279.13
10000,50000,2,postgres,query2,0.097,279.13
10000,50000,2,postgres,query3,0.8702,279.13
10000,50000,2,postgres,query4,0.6728,279.13
10000,50000,2,mongodb,load,28.0843,276.19
10000,50000,2,mongodb,query1_lookup,14.171,279.83
10000,50000,2,mongodb,query2,1.3833,279.84
10000,50000,2,mongodb,query3,0.1219,279.84
10000,50000,2,mongodb,query4,0.3001,280.4
10000,50000,2,neo4j,load,15.0447,280.34
10000,50000,2,neo4j,query1,0.008,280.34
10000,50000,2,neo4j,query2,0.0648,280.34
10000,50000,2,spark_doc,query2,0.429,281.56
10000,50000,2,spark_graph,pagerank,3.9761,281.42
10000,50000,2,spark_graph,connected_components,0.9041,281.42
10000,50000,5,postgres,load,51.2694,298.11
10000,50000,5,postgres,query1,0.914,298.12
10000,50000,5,postgres,query2,0.0796,298.13
10000,50000,5,postgres,query3,0.9398,298.13
10000,50000,5,postgres,query4,1.1836,298.49
10000,50000,5,mongodb,load,29.3675,301.3
10000,50000,5,mongodb,query1_lookup,13.1044,304.39
10000,50000,5,mongodb,query2,1.5588,303.41
10000,50000,5,mongodb,query3,0.0941,303.41
10000,50000,5,mongodb,query4,0.4306,303.48
10000,50000,5,neo4j,load,15.0606,303.88
10000,50000,5,neo4j,query1,0.005,303.88
10000,50000,5,neo4j,query2,0.0063,303.88
10000,50000,5,spark_doc,query2,0.4663,304.71
10000,50000,5,spark_graph,pagerank,4.1314,304.57
10000,50000,5,spark_graph,connected_components,0.7402,304.57
10000,50000,10,postgres,load,91.3093,425.11
10000,50000,10,postgres,query1,0.9094,425.23
10000,50000,10,postgres,query2,0.0817,425.26
10000,50000,10,postgres,query3,0.7594,425.26
10000,50000,10,postgres,query4,1.1017,425.3
10000,50000,10,mongodb,load,29.9188,425.29
10000,50000,10,mongodb,query1_lookup,13.7329,426.3
10000,50000,10,mongodb,query2,1.5441,426.3
10000,50000,10,mongodb,query3,0.0907,426.3
10000,50000,10,mongodb,query4,0.4288,426.32
10000,50000,10,neo4j,load,14.2244,426.88
10000,50000,10,neo4j,query1,0.006,426.88
10000,50000,10,neo4j,query2,0.0069,426.88
10000,50000,10,spark_doc,query2,0.4588,426.47
10000,50000,10,spark_graph,pagerank,4.018,426.32
10000,50000,10,spark_graph,connected_components,0.769,426.32
10000,100000,0,postgres,load,20.9454,364.09
10000,100000,0,postgres,query1,1.774,364.44
10000,100000,0,postgres,query2,0.1842,364.44
10000,100000,0,postgres,query3,1.7771,364.44
10000,100000,0,postgres,query4,0.004,364.44
10000,100000,0,mongodb,load,5.3573,363.43
10000,100000,0,mongodb,query1_lookup,21.7026,367.29
10000,100000,0,mongodb,query2,2.3852,367.29
10000,100000,0,mongodb,query3,0.245,367.29
10000,100000,0,mongodb,query4,0.198,367.29
10000,100000,0,neo4j,load,28.5386,367.25
10000,100000,0,neo4j,query1,0.0149,367.25
10000,100000,0,neo4j,query2,0.008,367.25
10000,100000,0,spark_doc,query2,0.4191,365.36
10000,100000,0,spark_graph,pagerank,3.8362,362.68
10000,100000,0,spark_graph,connected_components,0.8848,362.68
10000,100000,2,postgres,load,55.3092,378.23
10000,100000,2,postgres,query1,1.7971,378.78
10000,100000,2,postgres,query2,0.2363,378.78
10000,100000,2,postgres,query3,1.6191,377.78
10000,100000,2,postgres,query4,0.9091,377.79
10000,100000,2,mongodb,load,55.7191,373.68
